id,category,item_name,description,price
1,tea,All Nighter,Tart,10
2,tea,Bahama Mama,Tropical,10
3,tea,Beach Please,Fruity,10
4,tea,Blue Hawaiian,Tropical,10
5, tea,Bob Marley, Fruity, 10
6,tea,Captain America,Berry,10
7,tea,Cucumber Watermelon,Refreshing,10
8,tea,Frog Spit,Tart, 10
9,tea,Fuzzy Navel,Fruity,10
10,tea,Georgia Peach,Fruity,10
11,tea,Gummi Bear,Watermelon,10
12,tea,Happy Camper,Berry,10
13,tea,Hello Sunshine,Tropica,10
14,tea,Jolly Rancher,Fruity,10
15,tea,Lake Days,Berry,10
16,tea,Margarita,Tropical,10
17,tea,Mermaid,Tart,10
18,tea,Miami Vice,Tropical,10
19,tea,Sour Patch,Tart,10
20,tea,Spring Breaker,Fruity,10
21,tea,Sweetart,Tart,10
22,tea,Tiger Tea,Tropical,10
23,tea,Tranquility,Refreshing,10
24,tea,Unicorn,Tart,10
25,tea,Watermelon Crawl,Fruity,10
26,tea,Wave Runner,Tropical,10
27,shake,Banana Pudding,Dessert,10
28,shake,Cheesecake,Dessert,10
29,shake,Chocolate Caramel Cheesecake,Chocolate,10
30,shake,Chocolate Chip Cookie Dough,Chocolate,10
31,shake,Cinnamon Roll,Dessert,10
32,shake,Cookies n' Cream,Chocolate,10
33,shake,Chocolate Elvis,Chocolate,10
34,shake,Funfetti,Dessert,10
35,shake,Peanut Butter Cup,Candy,10
36,shake,Salted Caramel,Dessert,10
37,shake,Snickers,Candy,10
38,shake,Tiramisu,Dessert,10
39,shake,White Chocolate Snickers,Candy,10
40,shake,Wildberry,Fruit,10
41,beauty,Garden of Eden,Vitamins and Energy,10
42,beauty,Queen Bee,Vitamins and Energy,10
43,beauty,Aloha,Vitamins and Energy,10
44,beauty,Spa Day,Vitamins and Energy,10
45,specialty,Kitchen,Best of Everything,10
46,specialty,Pretty n Pink,Best of Everything,10
47,specialty,GodFather,Best of Everything,10
48,specialty,Hercules,Best of Everything,10
49,donut,Donut Hole Shot,Fat Burner,10
